timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
1782305438.035,0.000,0.000,0.000,0.000,0.000
1782305438.135,0.150,0.000,0.000,0.000,0.000
1782305438.235,0.150,0.000,0.000,0.000,0.000
1782305438.335,0.150,0.000,0.000,0.000,0.000
1782305438.435,0.150,0.000,0.000,0.000,0.000
1782305438.535,0.150,0.000,0.000,0.000,0.000
1782305438.635,0.150,0.000,0.000,0.000,0.000
1782305438.735,0.150,0.000,0.000,0.000,0.000
1782305438.835,0.150,0.000,0.000,0.000,0.000
1782305438.935,0.150,0.000,0.000,0.000,0.000
1782305439.035,0.150,0.000,0.000,0.000,0.000
1782305439.135,0.150,0.000,0.000,0.000,0.000
1782305439.235,0.150,0.000,0.000,0.000,0.000
1782305439.335,0.150,0.000,0.000,0.000,0.000
1782305439.435,0.150,0.000,0.000,0.000,0.000
1782305439.535,0.150,0.000,0.000,0.000,0.000
1782305439.635,0.150,0.000,0.000,0.000,0.000
1782305439.735,0.150,0.000,0.000,0.000,0.000
1782305439.835,0.150,0.000,0.000,0.000,0.000
1782305439.935,0.150,0.000,0.000,0.000,0.000
1782305440.035,0.150,0.000,0.000,0.000,0.000
1782305440.135,0.150,0.000,0.000,0.000,0.000
1782305440.235,0.150,0.000,0.000,0.000,0.000
1782305440.335,0.150,0.000,0.000,0.000,0.000
1782305440.435,0.150,0.000,0.000,0.000,0.000
1782305440.535,0.150,0.000,0.000,0.000,0.000
1782305440.635,0.150,0.000,0.000,0.000,0.000
1782305440.735,0.150,0.000,0.000,0.000,0.000
1782305440.835,0.150,0.000,0.000,0.000,0.000
1782305440.935,0.150,0.000,0.000,0.000,0.000
1782305441.035,0.150,0.000,0.000,0.000,0.000
1782305441.135,0.150,0.000,0.000,0.000,0.000
1782305441.235,0.150,0.000,0.000,0.000,0.000
1782305441.336,0.150,0.000,0.000,0.000,0.000
1782305441.436,0.150,0.000,0.000,0.000,0.000
1782305441.535,0.150,0.000,0.000,0.000,0.000
1782305441.636,0.150,0.000,0.000,0.000,0.000
1782305441.736,0.150,0.000,0.000,0.000,0.000
1782305441.836,0.150,0.000,0.000,0.000,0.000
1782305441.935,0.150,0.000,0.000,0.000,0.000
1782305442.035,0.150,0.000,0.000,0.000,0.000
1782305442.136,0.150,0.000,0.000,0.000,0.000
1782305442.236,0.150,0.000,0.000,0.000,0.000
1782305442.336,0.150,0.000,0.000,0.000,0.000
1782305442.435,0.150,0.000,0.000,0.000,0.000
1782305442.536,0.150,0.000,0.000,0.000,0.000
1782305442.635,0.150,0.000,0.000,0.000,0.000
1782305442.735,0.150,0.000,0.000,0.000,0.000
1782305442.836,0.150,0.000,0.000,0.000,0.000
1782305442.937,0.150,0.000,0.000,0.000,0.000
1782305443.035,0.150,0.000,0.000,0.000,0.000
1782305443.135,0.150,0.000,0.000,0.000,0.000
