timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.301,0.150,0.000,3.500,1.737,0.883
0.400,0.150,-0.300,3.500,1.737,0.883
0.500,0.150,-0.300,3.500,1.781,0.891
0.601,0.150,-0.300,3.500,1.781,0.891
0.700,0.150,-0.300,3.500,2.013,0.869
0.800,0.150,-0.300,3.500,2.013,0.869
0.900,0.150,-0.300,2.991,2.273,0.830
1.000,0.150,-0.300,2.991,2.273,0.830
1.100,0.150,-0.300,1.913,2.503,0.826
1.201,0.150,-0.300,1.913,2.503,0.826
1.300,0.150,-0.300,1.859,2.514,0.827
1.400,0.150,-0.300,1.859,2.514,0.827
1.500,0.150,-0.300,1.825,1.697,0.818
1.600,0.150,-0.300,1.825,1.697,0.818
1.700,0.150,-0.300,1.806,1.630,0.812
1.800,0.150,-0.300,1.806,1.630,0.812
1.900,0.150,-0.300,1.783,1.627,0.804
2.000,0.150,-0.300,1.783,1.627,0.804
2.100,0.150,-0.300,0.793,1.614,0.794
2.200,0.150,-0.300,0.793,1.614,0.794
2.301,0.150,-0.300,0.735,1.658,0.785
2.400,0.150,-0.300,0.735,1.658,0.785
2.500,0.150,-0.300,0.689,0.813,0.784
2.600,0.150,-0.300,0.689,0.813,0.784
2.700,0.150,-0.300,0.658,0.695,0.800
2.800,0.150,-0.300,0.658,0.695,0.800
2.900,0.150,-0.300,0.632,0.677,0.787
3.001,0.150,-0.300,0.632,0.677,0.787
3.100,0.150,-0.300,0.598,0.682,0.795
3.201,0.150,-0.300,0.598,0.682,0.795
3.300,0.150,-0.300,0.580,0.683,0.799
3.400,0.150,-0.300,0.580,0.683,0.799
3.501,0.150,-0.300,0.551,0.703,0.804
3.601,0.150,-0.300,0.551,0.703,0.804
3.700,0.150,-0.300,0.542,3.065,0.803
3.800,0.150,-0.300,0.542,3.065,0.803
3.900,0.150,-0.300,0.585,1.605,0.807
4.001,0.000,0.500,0.585,1.605,0.807
4.102,0.000,0.500,2.023,1.557,0.818
4.200,0.000,0.500,2.023,1.557,0.818
4.301,0.000,0.500,2.021,1.568,0.815
4.401,0.000,0.500,2.021,1.568,0.815
4.501,0.000,0.500,0.492,3.086,0.805
4.600,0.000,0.500,0.492,3.086,0.805
