timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.238,0.000,0.000,0.000,0.000,0.000
0.238,0.000,0.000,0.000,0.000,0.000
0.300,0.150,0.000,0.000,0.000,0.000
0.401,0.150,0.000,1.832,3.500,3.500
0.500,0.150,0.000,1.832,3.500,3.500
0.600,0.150,0.000,1.806,3.500,3.500
0.700,0.150,0.000,1.806,3.500,3.500
0.801,0.150,0.000,1.763,3.500,3.500
0.901,0.150,0.000,1.763,3.500,3.500
1.003,0.150,0.000,1.727,3.500,3.500
1.100,0.150,0.000,1.727,3.500,3.500
1.201,0.150,0.000,1.688,3.500,3.500
1.301,0.150,0.000,1.688,3.500,3.500
1.400,0.150,0.000,1.668,3.500,3.500
1.500,0.150,0.000,1.668,3.500,3.500
1.600,0.150,0.000,1.658,3.500,3.500
1.701,0.150,0.000,1.658,3.500,3.500
1.801,0.150,0.000,1.604,3.500,3.500
1.900,0.150,0.000,1.604,3.500,3.500
2.001,0.150,0.000,1.580,3.500,3.500
2.101,0.150,0.000,1.580,3.500,3.500
2.201,0.150,0.000,1.567,3.500,3.500
2.300,0.150,0.000,1.567,3.500,3.500
2.401,0.150,0.000,1.526,3.500,3.500
2.501,0.150,0.000,1.526,3.500,3.500
2.600,0.150,0.000,1.477,3.500,3.500
2.701,0.150,0.000,1.477,3.500,3.500
2.800,0.150,0.000,1.442,3.500,3.500
2.900,0.150,0.000,1.442,3.500,3.500
3.000,0.150,0.000,1.414,3.500,3.500
3.100,0.150,0.000,1.414,3.500,3.500
3.202,0.150,0.000,1.401,3.500,3.500
3.300,0.150,0.000,1.401,3.500,3.500
3.400,0.150,0.000,1.380,3.500,3.500
3.500,0.150,0.000,1.380,3.500,3.500
3.600,0.150,0.000,1.341,3.500,3.500
3.700,0.150,0.000,1.341,3.500,3.500
3.801,0.150,0.000,1.323,3.500,3.500
3.901,0.150,0.000,1.323,3.500,3.500
4.000,0.150,0.000,1.276,3.500,3.500
4.100,0.150,0.000,1.276,3.500,3.500
4.200,0.150,0.000,1.254,3.500,3.500
4.300,0.150,0.000,1.254,3.500,3.500
4.402,0.150,0.000,1.207,3.500,3.500
4.500,0.150,0.000,1.207,3.500,3.500
4.600,0.150,0.000,1.176,3.500,3.500
4.700,0.150,0.000,1.176,3.500,3.500
4.801,0.150,0.000,1.172,3.500,3.500
4.901,0.150,0.000,1.172,3.500,3.500
5.001,0.150,0.000,1.133,3.500,3.500
5.101,0.150,0.000,1.133,3.500,3.500
5.200,0.150,0.000,1.106,3.500,3.500
5.302,0.150,0.000,1.106,3.500,3.500
5.401,0.150,0.000,1.089,3.500,3.500
5.502,0.150,0.000,1.089,3.500,3.500
5.600,0.150,0.000,1.057,3.500,3.500
5.701,0.150,0.000,1.057,3.500,3.500
5.801,0.150,0.000,1.007,3.500,3.500
5.900,0.150,0.000,1.007,3.500,3.500
6.001,0.150,0.000,0.996,3.500,3.500
6.100,0.150,0.000,0.996,3.500,3.500
6.201,0.150,0.000,0.931,3.500,3.500
6.300,0.150,0.000,0.931,3.500,3.500
6.401,0.150,0.000,0.912,3.500,3.500
6.501,0.150,0.000,0.912,3.500,3.500
6.601,0.150,0.000,0.882,3.500,3.500
6.701,0.150,0.000,0.882,3.500,3.500
6.800,0.150,0.000,0.853,3.500,3.500
6.901,0.150,0.000,0.853,3.500,3.500
7.000,0.150,0.000,0.826,3.500,3.500
7.101,0.150,0.000,0.826,3.500,3.500
7.200,0.150,0.000,0.782,3.500,3.500
7.301,0.150,0.000,0.782,3.500,3.500
7.401,0.150,0.000,0.771,3.500,3.500
7.501,0.150,0.000,0.771,3.500,3.500
7.600,0.150,0.000,0.736,3.500,3.500
7.701,0.150,0.000,0.736,3.500,3.500
7.800,0.150,0.000,0.693,3.500,3.500
7.900,0.150,0.000,0.693,3.500,3.500
8.002,0.150,0.000,0.678,3.500,3.500
8.100,0.150,0.000,0.678,3.500,3.500
8.201,0.150,0.000,0.653,3.500,3.500
8.301,0.150,0.000,0.653,3.500,3.500
8.400,0.150,0.000,0.610,3.500,3.500
8.500,0.150,0.000,0.610,3.500,3.500
8.600,0.150,0.000,0.586,3.500,3.500
8.700,0.150,0.000,0.586,3.500,3.500
8.801,0.150,0.000,0.549,3.500,3.500
8.901,0.150,0.000,0.549,3.500,3.500
9.000,0.150,0.000,0.519,3.500,3.500
9.100,0.150,0.000,0.519,3.500,3.500
9.201,0.150,0.000,0.493,3.500,3.500
9.301,0.000,0.000,0.493,3.500,3.500
9.401,0.000,0.600,0.463,3.500,3.500
9.500,0.000,0.600,0.463,3.500,3.500
9.601,0.000,0.600,0.482,3.500,3.500
9.700,0.000,0.600,0.482,3.500,3.500
9.801,0.000,0.600,0.500,3.500,3.500
9.901,0.000,0.600,0.500,3.500,3.500
10.001,0.000,0.600,0.510,3.500,3.500
10.101,0.000,0.600,0.510,3.500,3.500
10.201,0.000,0.600,0.518,3.500,3.500
10.301,0.000,0.600,0.518,3.500,3.500
10.403,0.000,0.600,3.500,3.500,3.500
10.500,0.000,0.600,3.500,3.500,3.500
10.600,0.000,0.600,3.500,3.500,3.500
10.700,0.000,0.600,3.500,3.500,3.500
10.800,0.000,0.600,3.500,3.500,3.500
10.901,0.000,0.600,3.500,3.500,3.500
11.001,0.000,0.600,3.500,3.500,3.500
11.101,0.000,0.600,3.500,3.500,3.500
11.200,0.000,0.600,3.500,3.500,3.500
11.301,0.000,0.600,3.500,3.500,3.500
11.401,0.000,0.600,3.500,3.500,0.489
11.501,0.000,0.600,3.500,3.500,0.489
11.600,0.000,0.600,3.500,3.500,0.439
11.700,0.000,0.600,3.500,3.500,0.439
11.800,0.000,0.600,3.500,3.500,0.438
11.901,0.000,0.600,3.500,3.500,0.438
12.001,0.000,0.600,3.500,3.073,0.415
12.100,0.000,0.600,3.500,3.073,0.415
12.200,0.000,0.600,3.500,3.500,0.433
12.301,0.000,0.600,3.500,3.500,0.433
12.401,0.000,0.600,3.500,3.500,0.422
12.500,0.000,0.600,3.500,3.500,0.422
12.601,0.000,0.600,3.500,3.500,0.422
12.705,0.000,0.600,3.500,3.500,0.422
12.802,0.000,0.600,3.500,3.500,0.440
12.904,0.000,0.600,3.500,3.500,0.440
13.000,0.000,0.600,3.500,3.500,0.466
13.100,0.000,0.600,3.500,3.500,0.466
13.200,0.000,0.600,3.500,3.500,3.500
13.306,0.000,0.600,3.500,3.500,3.500
13.400,0.000,0.600,3.500,3.500,3.500
13.502,0.000,0.600,3.500,3.500,3.500
13.601,0.000,0.600,3.500,3.500,3.500
13.700,0.000,0.600,3.500,3.500,3.500
13.804,0.000,0.600,3.500,3.500,3.500
13.900,0.000,0.600,3.500,3.500,3.500
14.001,0.000,0.600,3.500,3.500,3.500
14.100,0.000,0.600,3.500,3.500,3.500
14.200,0.000,0.600,3.500,3.500,3.500
14.301,0.000,0.600,3.500,3.500,3.500
14.401,0.000,0.600,3.500,3.500,3.500
14.501,0.000,0.600,3.500,3.500,3.500
14.602,0.000,0.000,3.168,3.500,3.500
14.701,0.150,0.000,3.168,3.500,3.500
14.801,0.150,0.000,3.138,3.500,3.500
14.901,0.150,0.000,3.138,3.500,3.500
15.001,0.150,0.000,3.127,3.500,3.500
15.101,0.150,0.000,3.127,3.500,3.500
15.201,0.150,0.000,3.108,3.500,3.500
15.300,0.150,0.000,3.108,3.500,3.500
15.401,0.150,0.000,3.067,3.500,3.500
15.501,0.150,0.000,3.067,3.500,3.500
15.601,0.150,0.000,3.028,3.500,3.500
15.700,0.150,0.000,3.028,3.500,3.500
15.801,0.150,0.000,3.000,3.500,3.500
15.900,0.150,0.000,3.000,3.500,3.500
16.001,0.150,0.000,2.994,3.500,3.500
16.101,0.150,0.000,2.994,3.500,3.500
16.201,0.150,0.000,2.962,3.500,3.500
16.301,0.150,0.000,2.962,3.500,3.500
16.400,0.150,0.000,2.932,3.500,3.500
16.500,0.150,0.000,2.932,3.500,3.500
16.601,0.150,0.000,2.898,3.500,3.500
16.701,0.150,0.000,2.898,3.500,3.500
16.801,0.150,0.000,2.858,3.500,3.500
16.900,0.150,0.000,2.858,3.500,3.500
17.000,0.150,0.000,2.827,3.500,3.500
17.100,0.150,0.000,2.827,3.500,3.500
17.201,0.150,0.000,2.803,3.500,3.500
17.301,0.150,0.000,2.803,3.500,3.500
17.401,0.150,0.000,2.769,3.500,3.500
17.500,0.150,0.000,2.769,3.500,3.500
17.600,0.150,0.000,2.723,3.500,3.500
17.700,0.150,0.000,2.723,3.500,3.500
17.800,0.150,0.000,2.708,3.500,3.500
17.901,0.150,0.000,2.708,3.500,3.500
18.001,0.150,0.000,2.672,3.500,3.500
18.100,0.150,0.000,2.672,3.500,3.500
18.201,0.150,0.000,2.636,3.500,3.500
18.300,0.150,0.000,2.636,3.500,3.500
